0 |@positive рынок:1 отторгнуть:2 можно:1 использовать:1 отметить:1 |@negative предприятие:1 надо:1 пытаться:1 положение:1
77 |@positive Днр:1 мзда:1 конец:1 урок:1 мочь:1 существование:1 принадлежать:1 терять:1 владелец:1 тот:1 пытаться:1 играть:1 куратор:1 платить:1 поддержка:1 ответ:1 гарантия:1 надеяться:1 повод:1 многое:1 посылать:1 сыграть:1 весна:1 глава:1 зависеть:1 Служба:1 причастный:1 то:1 сохранять:1 |@negative он:1 активист:1 семья:1 президент:1 один:1 превращаться:1 получать:1 решать:1 заходить:1 отжить:1 захват:1 называть:1 история:1 блок:1 государство:2 помощь:1 предприятие:4 бюджет:1 желание:1 год:1 лишиться:1 то:1 сложный:1 фигура:1 жертва:1 грозить:1 тайный:1 спонсор:1 список:1 польза:1 отжим:1 чиновник:1 Ахметов:1 язык:1 дать:1 все:1 выход:1 нужный:1 начать:1 занята:1 публика:1
78 |@positive начаться:1 конфисковывать:1 поддержать:1 участвевать:1 |@negative подача:1 власть:2 тэц:1 регион:2 компания:1 момент:1 блокировать:1 район:1 ставить:1 артерия:1 Донбасс:1 читать:1 предприятие:1 положение:1 территория:3 действовать:1
79 |@positive убийца:1 обращать:1 Москва:1 активист:1 вступить:1 рубль:1 вспомянуть:1 ожидать:1 финансист:1 |@negative слушать:1 заявить:1 рождить:1 подконтрольный:1 структура:1 другой:1 чекист:1 рабинович-:1 предприятие:3 стоить:1 ирония:1 территория:3 говорить:1 Фейсбук:1 слово:1 преступник:1 блокада:1 аппарат:1 национализировать:1 отнять:1 сохранять:1 преступление:1
80 |@positive заверить:1 глава:1 инструмент:1 санкция:3 динамика:1 дело:3 эскалация:1 |@negative президент:1 свидетельство:1 подчеркнуть:1 решение:1 введение:1 предприятие:1 провоцировать:1 повод:2
81 |@positive выразить:1 акцентировать:1 глава:1 население:1 вступить:1 рамка:2 рост:1 нести:1 дело:1 РФ:1 |@negative пресс-служба:1 Курченко:1 произойти:1 военный:1 обстрел:1 ввести:1 международный:1 факт:1 режим:1 грубой:1 актив:2 санкция:1 удержание:1 добавить:1 предприятие:1 призвывать:1 территория:2 нарушение:1 ответственность:1
82 |@positive обращать:1 небезграничный:1 восстановить:1 экономика:1 продукция:1 республика:1 шаг:1 волновать:1 цель:1 разгонять:1 остановка:1 блокада:1 стадион:1 преминуть:1 филиал:1 рисковать:1 влияние:1 квартал:1 принадлежать:1 иск:1 |@negative получатель:1 шалость:1 чреватый:1 офис:1 отразиться:1 националист:1 привести:1 президент:1 производить:1 управление:1 лексикон:1 терять:1 тэц:1 обстрел:1 ввести:1 схема:1 безработица:1 занянуть:1 предприятие:3 служащий:1 стукнуть:1 бить:1 понимать:1 остановиться:1 оказаться:1 блокадник:1 пострадавший:1 подсчитывать:1 решение:1 владелец:1 говорить:1 промышленность:1 отношение:1 привычный:1 республика:1 конкурент:1 формирование:1 блокада:1 учсти:1 рассказать:1 влиять:1 то:1 считать:1 действие:1
83 |@positive предприятие:1 платить:1 цель:1 экономия:1 |@negative юрисдикция:1 блокировать:1 шахта:1 слово:1 мера:1 вынудить:1 быть:1 выступать:1 утро:1 участник:1
84 |@positive  |@negative власть:1 контролировать:1 заявить:1 юрисдикция:1 ввести:1 лидер:1 предприятие:1 что:1 территория:1
85 |@positive мочь:1 результат:1 прийтись:1 житель:1 независимый:1 цель:1 уничтожение:1 оказывать:1 продовольствие:1 вид:1 лишиться:1 произойти:1 враг:1 работать:1 выполнить:1 выяснить:1 быть:1 действовать:1 промышленность:1 проиграть:1 возьмуться:1 человек:1 энергоресурс:1 гражданин:1 урегулирование:1 знать:1 мера:1 приносить:1 |@negative договариваться:1 перейти:1 виток:1 решать:1 выступать:1 миллион:1 ясный:1 отброс:1 трудиться:1 оставить:1 путь:1 перезапуск:1 действие:2 закон:1 схема:1 бояться:1 платить:1 помощь:3 конец:1 оценка:1 предприятие:1 бюджет:2 надеяться:1 означать:1 хотеть:1 продукция:1 блокпост:1 встретить:1 стать:1 остаться:1 начать:1 армия:1 прогноз:1 бизнесмен:1 получиться:1 делать:2 сторона:1 делить:1 партия:1 видеть:1 идти:1
86 |@positive называться:1 правило:1 поступать:1 администратор:1 |@negative отдать:1 попадать:1 юрисдикция:3 заявление:1 ставить:1 предприятие:2 должен:1 заняться:1 говорить:2 план:1
87 |@positive комментировать:1 указать:1 санкция:1 глава:1 |@negative свидетельство:1 сайт:1 доказательство:1 тот:1 режим:1 поступить:1 служить:1 ответственность:1 предприятие:2 нарушение:1 делать:1 территория:1 считать:1
88 |@positive оплата:1 заставить:1 группа:1 поставлять:1 грна:1 отчислять:1 считать:1 регион:1 |@negative заявить:1 принять:1 находиться:1 давление:1 отжимать:1 отмечать:1 миллион:1 ситуация:1 требование:1 начало:1 предприятие:2 неподконтрольный:1 законодательство:1 бюджет:1 говорить:1
89 |@positive дело:1 |@negative предприятие:3 тот:1 территория:1 свидетельство:1 наступить:1
90 |@positive терять:1 оплата:1 заставить:1 поставлять:1 грна:1 отчислять:1 предприятие:1 считать:1 регион:1 |@negative выступить:1 заявить:1 ситуация:1 юрисдикция:1 давление:1 работать:1 начало:1 самопровозглашенный:1 предприятие:2 миллион:1 законодательство:1 бюджет:1 территория:2
91 |@positive признание:1 Федерация:1 выдать:1 противоречить:1 дело:1 проживать:1 |@negative признание:1 заявить:1 сказать:1 гражданин:1 подписать:1 эскалация:1 документ:1
92 |@positive Федерация:1 вступить:1 дело:1 нести:1 глава:1 |@negative предприятия:1 сказать:1 факт:1 подчеркнуть:1 удерживание:1 режим:1 актив:1 санкция:1 международный:1 территория:2 встреча:1 нарушение:1 гражданский:1
93 |@positive Федерация:1 министерство:2 Пао:1 житель:1 молодежь:1 |@negative контроль:1 ввести:1 описывать:1 отбирать:1 Прао:1 филиал:1 союз:1 предприятие:1 осуществляуть:1 территория:1 Аска:1 опубликовать:1 начать:1 промышленность:1
94 |@positive стать:1 весна:1 Служба:1 количество:1 заинтересованный:1 |@negative выступить:1 юрисдикция:1 националист:1 ввести:1 привести:1 режим:1 следовать:1 предприятие:1 территория:1 разговор:1 начать:1
95 |@positive рынок:1 отторгнуть:2 подчеркнуть:1 можно:1 возможность:1 говорить:1 |@negative власть:1 юрисдикция:1 сравнивать:1 безграничный:1 урегулирование:1 располагать:1 положение:1 политика:1 надо:1
96 |@positive блокада:1 донецкий:1 |@negative заявить:1 юрисдикция:2 сайт:1 главарь:1 управление:1 руководеть:1 собственниок:1 территория:1
97 |@positive подтвердить:1 часы:1 поступать:1 |@negative предприятие:1 представитель:1 руководство:1 юрисдикция:2 источник:1
98 |@positive нюанс:1 брать:1 тысяча:1 обеспечивать:2 проблема:1 схема:1 страна:1 политолог:1 быть:1 должен:1 |@negative ТЭС:1 деньги:1 дорогой:1 мочь:1 он:1 стрелять:1 тот:1 можно:1 наносеть:1 угль:1 предприятие:2 вносить:1 социалка:1 боевик:1 президент:2 наносить:1 продукция:1 работать:1 диктатор:1 решить:2 бросать:1 руководство:1 юрисдикция:1 условно:1 знать:1 заблокировать:1 хотеть:1
